Date,Time,Open,High,Low,Close,Volume
2019.02.15,14:00,1.12525,1.12851,1.12514,1.12686,9915
2019.02.15,15:00,1.1269,1.1276,1.12574,1.12628,7985
2019.02.15,16:00,1.12631,1.12744,1.12604,1.12677,5442
2019.02.15,17:00,1.12677,1.12769,1.12664,1.12727,2726
2019.02.15,18:00,1.12726,1.13058,1.12717,1.12995,4562
2019.02.15,19:00,1.12996,1.1303,1.12937,1.12948,3411
2019.02.15,20:00,1.12947,1.13004,1.12943,1.12987,2135
2019.02.15,21:00,1.12987,1.12991,1.12904,1.12908,1568
2019.02.17,22:05,1.12923,1.12933,1.12876,1.12914,856
2019.02.17,23:05,1.12912,1.12956,1.1289,1.12946,1149
2019.02.18,00:00,1.12944,1.13046,1.12934,1.13025,1954
2019.02.18,01:00,1.13022,1.13112,1.13022,1.13093,1888
2019.02.18,02:00,1.13092,1.13245,1.13088,1.13171,2391
2019.02.18,03:00,1.13172,1.13213,1.13158,1.13169,1653
2019.02.18,04:00,1.1317,1.13178,1.13103,1.13117,1015
2019.02.18,05:00,1.13117,1.1313,1.13063,1.13079,1417
2019.02.18,06:00,1.13079,1.13112,1.13061,1.13079,1661
2019.02.18,07:00,1.13079,1.13153,1.13013,1.13069,3518
2019.02.18,08:00,1.13068,1.13083,1.12945,1.13072,4410
2019.02.18,09:00,1.1307,1.13185,1.13055,1.13152,3569
2019.02.18,10:00,1.13151,1.13298,1.13106,1.13275,3734
2019.02.18,11:00,1.13274,1.1331,1.1324,1.133,2733
2019.02.18,12:00,1.13299,1.13334,1.13244,1.13304,3139
2019.02.18,13:00,1.13303,1.13306,1.13202,1.13216,3324
2019.02.18,14:00,1.13215,1.13267,1.13193,1.13216,3257
2019.02.18,15:00,1.13217,1.13221,1.13043,1.13065,3812
2019.02.18,16:00,1.13067,1.13132,1.13044,1.13058,3068
2019.02.18,17:00,1.13057,1.13107,1.13021,1.13106,1370
2019.02.18,18:00,1.13106,1.13129,1.1307,1.13102,1393
2019.02.18,19:00,1.13102,1.13123,1.13091,1.13117,841
2019.02.18,20:00,1.13117,1.13158,1.13112,1.13141,1147
2019.02.18,21:00,1.13142,1.13155,1.13079,1.13079,1946
2019.02.18,22:05,1.13097,1.13117,1.13091,1.13117,311
2019.02.18,23:05,1.13117,1.13123,1.13101,1.13113,419
2019.02.19,00:00,1.13108,1.13134,1.13028,1.13053,1840
2019.02.19,01:00,1.13052,1.13069,1.1302,1.13038,1648
2019.02.19,02:00,1.13039,1.13047,1.12976,1.13009,1260
2019.02.19,03:00,1.13008,1.13029,1.12935,1.12952,1108
2019.02.19,04:00,1.12951,1.12979,1.12927,1.12962,1224
